Title,Title_URL,Image,bigqs_URL,bigqs,bigqs1,iugum,bigqs2,rpecd,jguwg_spancontainsclass_ycete,bigqs3,bigqs4
,,,,,"Dublin, Ireland",11 contributions,0,Jul 2021,"Our trip from Dublin to Enniscorthy was pleasant enough, nice, cleanish, modern train. Our trip back was on a dirty train that was more like a dart.  There should be regular cleaning of toilets etc on trains, I saw a man nearly slip as the floor was so wet, few lads got on and had to sit on the floor as there were no seats. Also the stations themselves are not great, Enniscorthy station doesn’t even have shelters for passengers, we were soaked waiting for the train and I’m sure there are plenty more without shelters.  Come on Irish Rail Management it’s Ireland it always rains, shelters are a necessity in every station. I won’t be in a hurry to use Irish rail in the future unless services improve.",Written 11 July 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Tullamore, Ireland",11 contributions,0,Jun 2021 • Couples,What's the difference between Iarnrod Eireann 1991 and 2021? Absolutely no difference. Still end up sitting on the track idle for ages on more than one occasion.,Written 7 June 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,4 contributions,,2,Feb 2021 • Solo,"I want to thank a young lady Melissa who works in CIE travelling from Westport to Dublin Heuston today. I had the pleasure of travelling on a return journey with her, she was so helpful & thoughtful towards me & others. She turned my early morning journey which started off stressful & nightmarish prior to even boarding the train & almost missing it in Castlebar into a relaxed, stress free journey & certainly turned my whole day around for me. Thank you Melissa, you’re a ⭐️also Noel Hoban in Castlebar station, Thank you for helping me.
Ann Donnelly.",Written 1 February 2021,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Indianapolis, IN",14 contributions,2,Oct 2020,Awesome experience for a quick two hour trip.  Comfy and spacious seats with a table.  Smooth ride.  Big fan of the enjoyable ride.,Written 9 October 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",38 contributions,2,Sep 2020 • Friends,Travelled from Heuston Station Dublin to Tralee Co Kerry .We upgrades to first class as I have to use a walking stick after a knee operation I was unsure of the help I might get. I was helped by rail staff to mount the carriage . when I had to change at Mallow they had a ramp ready and wheeled my wheelchair on board .A charming guard made sure we were comfortable. As our journey was during the Covid 19 everybody had to wear a mask. and the kind guard checked that passengers were obeying this law. I hope that Irish rail bosses reward this guard for going above and beyond his remit. Gráinne travelled 8 September 2020,Written 13 September 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,2 contributions,,1,Jun 2020 • Solo,Irish rail is unreliable in every way! I hate them with passion. They turn my 9 hour shift into 12 hours at the least (most of the time is spent waiting for a train to show). Expensive! If I had another option of transport I'd gladly take it,Written 20 June 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Sandyford, Ireland",44 contributions,0,Mar 2020 • Couples,"18.30 train Heuston-Ballina, no refreshments trolley nor shop, how this possible?. 3.5 hour journey!!! Not impressed passenger",Written 22 March 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Kildare, Ireland",30 contributions,1,Mar 2020,regular from Heuston to Ballybrophy. but the last train leaving Dublin should be 8 or 7.30 to give workers who get delayed a chance to get to the station . ,Written 6 March 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Edmonton, Canada",745 contributions,1,Mar 2020,"We took the train from Dublin to Galway and back, for our 2 day visit to Galway.  It was convenient, fairly inexpensive and an easy way to get around Ireland.  We purchased the tickets online and were able to preselect our seats.  We took advantage of the student discount for our daughter and saved a few dollars.  The trains were on time and the seats were fairly clean.  Lots of room for luggages.  Also, since we purchased the ""Flex"" fare, we were able to change our departure time without problems.  I would recommend this mode of transportation rather than buses if you want to tour Ireland.",Written 3 March 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Tipperary, Ireland",194 contributions,0,Dec 2019 • Couples,Trains are very good time wise but a little better detail to the cleanliness of the seating would upgrade this service a long long way. It is evident that people are either putting their feet or dirty wet bags on the seats.,Written 23 February 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Tralee, Ireland",4 contributions,0,Feb 2020 • Couples,"I took the train for the first time in a while and it appears that Irish Rail are still struggling with the small things on the service. Not worth going into any great detail but just to say that if the small simple things were done right, then it could be a good service.",Written 19 February 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,1,Jan 2020,"I'm a student and for a single 1 hour trip with no changes on a train that definitely makes its money worth, I was charged 16 euro and online that's 9 euro. They almost double the prices when paying in cash because they know more than likely you have no other choice but to board now.

Student prices are an absolute disgrace. For a return 1 hour trip online it is 18 euro. For a student, I'm paying an hourly wage to take the train. 9 euro an hour!

You wonder why other people my age risk it with Child's tickets? Although If you're ever going to Hueston they love giving those 16 year old's those 100 euro fines for buying Child's tickets so beware.

So to top off this review:
- Cash fares need to be stated online
- Student fares are disgustingly too expensive
- Stop trying to bankrupt 16 year old children who just want to enjoy themselves in Dublin for the day.

And get the bus",Written 17 February 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Feb 2020 • Solo,"I use the Irish rail running from Galway to limerick twice daily and I have to admit that it is a great service and the prices are great in comparison to the bus. But what I don’t understand is how the 18:05 train leaving limerick sits in Ennis for 25-30 minutes making the journey longer than necessary. It arrives in Ennis at 18:45 and it then sits and waits for the Galway to limerick train to pass in ennis station, usually leaving around 19:15. This happens in both directions. Surely Irish rail can find a way to avoid this and engineer some by pass locations along the line that would make the routes more efficient for commuters and it would make the journey times shorter. Problems like this do not occur on the lines running to Dublin and if railway lines could become more efficient along the west coast than im sure the train would grow in popularity.",Written 4 February 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,3 contributions,,2,Feb 2020 • Solo,"The most over priced service in Ireland, unreliable and terrible service. Charged me with a fine with my student card out of date due to I was on my placement working and wasn’t at college till the next few months. And very slow travel journey, I rather the bus any day.",Written 1 February 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,2,Feb 2020 • Couples,"Disabled traveller (first time) Very rude, unhelpful staff member male, at boarding gate for 1900 Huston to Cork Saturday 1st Feb 2020 I asked what platform for train? He replied ""yes I do know"" ...I had to ask him...""can you tell me""? I explained that I needed time to walk being disabled...he was very reluctant to tell me! He eventually did...but in rude unhelpful manner as if I was not to ask him such questions! Shocked and disappointed with this rude Irish Rail employee!",Written 1 February 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Ennis, Ireland",227 contributions,1,Jan 2020 • Business,"My work takes me to our company HQ relatively frequently..... based in city center the train is the easiest option..., the trains themselves comfortable and fairy clean but couple of issues... the seat reservation frequently doesn’t display which causes awkward moments on busy services... be. Be consistent or get rid of it.,,, but this pales with my last trip..., after a week in Dublin for work on the Friday morning realized I had lost my ticket.... having booked online I had email confirmation and had booked a seat...I rang customer service thinking I could get ticket replacement... Wrong!! Very arrogant lady told me tickets were like cash and tough....... I was astonished in this day and age... she said that someone else could use it .... I don’t understand as in Hueston ticket must be scanned to open barrier... surely cancelling ticket would prevent this... also as seat reserved surely I am in the system and can easily check with ID that I am said person! Wrote complaint and got same response...in 21st century with paperless tickets for everything Irish rail still in ancient times.... and let’s not start with antisocial behavior...lol!",Written 26 January 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Pittsburgh, PA","90,321 contributions",68,Sep 2019 • Couples,The service is ok. But nothing special. Our train needed upgraded. Irish rail trains have many stops . Thus I'd assume a cheaper bus might save you money and not much difference in travel times.,Written 1 January 2020,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",99 contributions,2,Dec 2019 • Solo,"I have the misfortune of having to use the dart service and this is by far the worst service I have ever experienced in my life.
For the sum of €1600 a year you can have late trains every sigle day of the week no matter what time you travel. You can get the 1st train in the morning or the last one at night and they would be late. The best part is that, if you send a complaint to them, you will be getting a response from incompetent senior management telling you that they use the service themselves and it is great..... According to them of course. They have 2 sets of rairs and they do nothing to improve their service. No investments no nothing. I have been forced to use their service for the last 15 years and it just get more expensive and less reliable. They have no concept of what great customer experience is. The national transport authority which is in charge of this service is a complete shambles and its board should be sacked on the spot or, if they had a bit of decency, they should all resigned. The best part is that they don't even know what punctuality is because, according to their senior management, any trains that arrives to destination with no more than 10 minutes delay is considered arriving on time. Well , I can only suggest to them to buy a dictionary and to look up what the meaning of the words good service and punctuality are. Maybe that will get them to understand that they are failing to provide either.",Written 12 December 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"New York City, NY",10 contributions,2,Oct 2019,"I booked 2 round trips from Dublin to Galway and was not able to make the trip. I got really sick and had to get antibiotics and cut my vacation short and head back to the USA. As I did not pay the higher price for a refundable ticket, I was not given a refund under any circumstances. So, that was around $80 down the drain. Also, there was track work being done & we would have had to switch to a couple of different buses.",Written 9 December 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,2,Dec 2019 • Solo,"Reservation system is a bad joke. Even if you have ticket with reservation and your name is dispayed above the seat, someone can just sit there and refuse to leave. IR emploeyes wont help you, cause they dont care. Only thing what they do is selling tea and coffee and let people do whatever they want in a carriage.

Plus tickets are expensive, so if you have a choice between train and bus, take bus.",Written 8 December 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Trim, Ireland","8,866 contributions",7,Nov 2019 • Friends,"I'm tired of getting trains to and from Diblin - normally the Maynooth line - only to be let down by the trains being late.
To be fair, the trains are modern and comfortable... if you are lucky enough to get a seat. If not you are standing whether you like it or not. And you can't pre-reserve.
It's just not reliable.
The staff in my experience are good honest people but they are simply under resourced.",Written 27 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Athy, Ireland",47 contributions,1,Nov 2019,"The electronic information display said that the Galway train was on time and that there would be catering on board. The train was on time but whilst the catering might satisfy a dictionary definition of the word it is of a very poor standard to put it in the most positive light. The food on offer comprises choc bars, crisps and tired looking plastic wrapped sandwiches and cakes listed as items on a ""dining menu"". The coffee is worse even than can be had on RyanAir but the tea is OK thanks to Barry's tea bags. What about good crusty bread rolls with some excellent Irish cheese. ham or beef? Tayto crisps and Kit-Kat bars can be brought on board by those that want them. It would not be difficult to devise some simple, quality foods suitable for trolley service especially as few people seem to buy what they do sell. I have no doubt that an Irish Rail spokesperson if responding to this might begin with "" We can't...etc"". We excel in Ireland at giving excuses why we can't do things well. People will buy quality. Give the trolley people something they can be proud to sell.",Written 27 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,17 contributions,,3,Nov 2019 • Family,"Travelling from castlebar to dublin today. Our carriage was subjected to violent drunks, causing fear to children and adults alike.

Security arrived as I called them and removed them.

This is my last time travelling by rail as it's no longer safe.",Written 25 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,7 contributions,,2,Nov 2019 • Solo,"The seat booking system is a waste of time. Often trains arrive with less carraiges that were available to book online. Irish rail has somehow managed to create an environment of mistrust and dread between passangers as people eye each other up to protect their claim to a seat. Overtime this has created different types of passangers, some who will cling on the the hope that this useless system works and put their faith in a non existance higher power who'll back them up if their booked seat is taken and those who seem to actively seek out booked seats to add a little bit of spice to their commute. Thinking ""Come at me bro"" as they smirk at the approaching naive fool.",Written 22 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,7 contributions,,4,Nov 2019 • Solo,"Iv traveled quite a lot on Irish rail over the last 6 months..
IV found at times, not always, but at times, the carriages to be dirty.
Time wise they are pretty good.
The WiFi I have consistently found to be terrible.
This is a basic requirement on any rail networks nowadays, but this is something they fall very short on even though the fair prices are expensive.",Written 17 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,3,Nov 2019 • Solo,Very delayed. No communication. Awful WiFi. Had to get a bus half way. Terrible service and very poorly communicated that works were being done. It’s a joke of a service.,Written 16 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,3,Nov 2019 • Couples,"Customer care should be in quotations because it was the WORST customer service I have ever experienced from the out-write lying on their website to being of no help whatsoever, unfortunately they have a monopoly on the rail but this was the worst customer experience I have ever had and that includes British Airways cancelling my flight to London a week before I was to depart and doing nothing to assist",Written 15 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Cumbernauld, UK",305 contributions,1,Oct 2019,"Travelled from Heuston to Cork late afternoon one midweek. Spotless train, good wide comfortable reclining seats and we arrived on time, can't ask for more.",Written 12 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Navan, Ireland",1 contribution,1,Nov 2019 • Couples,Honestly when your paying almost 50 euro for a train ticket I’d expect WiFi I can actually do my work on and plugs that work absolutely fuming over the price and what your get it’s horrendous will rather take a bus next time honestly no matter how much longer it takes and the service cart went right past me asking my partner if they wanted something and point blanked ignored my presents and walked away when I tried to get something worst travel experience ever ,Written 11 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Galway, Ireland",15 contributions,4,Nov 2019 • Business,"I have been getting the train for years- to and from college and then to and from work.I have been late to work/ college countless times because of the train being so late. First of all, it’s an absolute rip-off and secondly, there are rarely ticket inspectors... the amount of money I have wasted on this terrible service is sickening. And the ONE time I genuinely didn’t have time to buy a ticket, there was a ticket inspector.. and even though he knew me from getting the train 6/7 days of a week he still fined me- €108.10. Such a shocking service I hope you rot in hell    Shame on you",Written 11 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Drogheda, Ireland",7 contributions,3,Nov 2019 • Family,"On october 20th i was aboard a train (12:40 Drogheda-Dublin) with my 3 months old daughter when she started crying for food. I went to the staff to ask if they could get me hot water so i could warm up the babies already made food. Unfortunately the staff weren’t friendly and they couldn’t help me because “health and safety conditions”. My baby was crying the whole trip. I would like to know what kind of “health and safety conditions” you have. (The boiled water and baby food). Because i cant give my baby cold food, she would get sick. And who would be responsible to that? This is the first time ive felt so uncomfortable and without support when i had my baby. I hope nobody has to feel like this in the future.",Written 3 November 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,4 contributions,,3,Oct 2019 • Solo,The slowest transportation ive ever taken.I travel with irish rail nearly every day and it crawls along through the whole commute and can stop for 10 mins sometimes withouy a single explanation of whats going on.,Written 31 October 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,1,Oct 2019 • Friends,"We took the train from dublin to belfast, our names where over seats but there was a man sitting in one of our seats luckley he was ok , he moved when we told him we booked 4 seats, so all ok, but on returning 2 days later from belfast to dublin  although we paid to reserve 4 seats every seat in section D had greene lights saying seats available, no names over seats, which could have caused trouble if someone was sitting there before we got on ,so why take money for seats  ¬ put reserved over seat , you hear of trouble on trains  over seats well IRISH RAIL are  causing it all themselfs, what if we had got on further down the line there was bound to be someone sitting in uor seats, wake up  &stop causing the trouble yourselfs, its as simple as lighting the names over the seats&as for inspectors on trains ,not one seen on a two &a half hr journey",Written 28 October 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Lemon Tree Passage, Australia",36 contributions,0,Oct 2019,"I travelled from Newry, Northerrn Ireland to Connolly street station in the city of Dublin.
The train was spotless, plenty of room and comfy seats.
A catering car was available for those who needed refreshment.
The train was quiet and cleaning staff to and fro'd throughout the 1 hour and a bit journey.
MUch better than the English trains.",Written 14 October 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dún Laoghaire, Ireland","1,222 contributions",0,Oct 2019,The Galway train is one of the best on the service. I was delighted to be able to charge my phone. I took the early morning train from Heuston. I really cannot understand why the station is full of parked trains and that you have to walk miles in Heuston to reach your train. the train ran on time but arrived about 20 minutes late in Galway. catering was hardly descriptive of what was available. There was no catering available on the return train to Athlone where i had to change trains.,Written 14 October 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Saint John, Canada",22 contributions,0,Oct 2019 • Friends,"A bit expensive, but a relaxing way to travel. Went from Belfast to Dublin. Train is quiet and service was good.",Written 13 October 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,3,Oct 2019 • Solo,"I'm writing this while I am currently less than half way through the Dublin to Sligo train journey and dreading the next 2 hours.
Irish rail can provide good journeys that is when they actually provide a proper train! I have travelled to Sligo and Galway recently on trains that were warm and comfortable. I was actuallylooking forward to catching up on some work on my laptop.
My heart utterly sank when I arrived at the platform in Dublin to be greeted with a Dart vehicle. DART stands for Dublin Area Rapid Transport. The clue is in the name. These vehicles are designed for short city commutes not a journey taking over 3 hours.
There is no heat. The doors of every carriage open at each stop and we are blasted with cold October air. There is supposedly WiFi but it doesn't work. There is very little space to sit comfortably never mind work. Books or laptops have to be balance on one's knees as the small table is to narrow and far away. That said I am lucky to have a seat as the carriage is full of people standing.

38 euro for this ordeal. Irish Rail gives no indication on their timetables or website that this is the vehicle they would be using. They also charge the same amount for an experience and service that is light years away from their new proper long distance trains - it seems to be a lottery what you get.
I try to travel by train to be more environmentally friendly but I'm not risking putting myself through a similar journey ever again.
I can only conclude Irish Rail has utter contempt for their clients.",Written 11 October 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,Ireland,39 contributions,4,Oct 2019 • Business,"I am a regular travellee on an Irish Rail Intercity train commuting from a rural station about 60km from Dublin Heuston. There is a fight for seats every morning at my station and those who don't get seats have to stand all the way to Heuston for at least an hour. People also get on at other stations on the way which means people are crush loaded for much of the journey. The food trolley operator pushes the fodder cart through crowds of people standing regardless. There are delays nearly every day for various reasons. Somebody faints in the crush and often an ambulance is needed and a delay of 30 minutes or more ensues. If this happens on another commuter train on the same route it also causes a delay. Then there is the ""mechanical fault"" or ""signal"" fault"" excuse which seems to happen at least once a week. I am regularly more than 30 minutes late for work in the mornings and my boss is not impressed. However Irish Rail always makes some excuse to avoid compensating passengers for delays. The evening trains are equally overcrowded with regular arguments over people werefusing to move out of booked seats where the names of passengers have not appeared. Passengers have to push through and step over people sitting on the floor to get to the train door to get out at their station. Irish Rail makes constant pseudo-apologies for no extra carriages being available until at least 2022 (meaning 2027 or later) so we have to put up with it. They still charge thousands of euro for annual tickets. Do not travel with Irish Rail unless absolutely necessary.",Written 10 October 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Key Largo, FL","1,449 contributions",0,Sep 2019,"The title says most of what I want to say. The train from Heuston to Galway was totally on schedule, with a smooth ride to all stops. The local train is almost as fast as the express. Most of the rail right-of-way is cleaner than I am used to on many lines, and the scenery was very nice. On-board refreshment service was also good, with reasonable prices.
My only ""complaint"" is that it was difficult for us to differentiate between reserved and non-reserved seats. Apparently we guessed right since nobody threw us out of our seats.",Written 2 October 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,148 contributions,,0,Sep 2019 • Business,"Did the Cork-Sallins route yesterday. The journey was smooth. Loved the great view of the rolling hills landscape outside the wide windows. Was a bit worried about the change in between but that worked out ok thanks to guidance by a fellow passenger. A little more alerts, route marking labels etc. would help first time solo travellers like me. The free wifi was a great help.",Written 25 September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Sep 2019,"Aer Lingus to/from Dublin is a great deal but our tour (Oct 2019) will end in Belfast so we want to take a train back to Dublin. It looked like morning rail times were disappearing a month ahead so I purchased tickets online. Some blogs indicate EuroRail is slow/unreliable in delivering tickets so I wanted to report that I ordered tickets after hours on a Thursday, they acknowledged order early Friday, and UPS delivered tickets next Tuesday afternoon to Ellensburg, Washington. No sweat. I used a link to EuroRail from the Rick Steves web site for rail & travel tips. (We are not regular travelers and have not been on the train yet, so result is yet to be seen).",Written 17 September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,2,Sep 2019 • Friends,"My recent travels with Irish Rail Tours couldn’t have been more enjoyable.

The day after the three of us arrived in Dublin, away we went to the Ring of Kerry with Rail Tours. It was picturesque and wonderful.

The next day, our tour guide Paddy accompanied our little group to Kilkenny and Waterford. Funny, informed and kind, Paddy was ever the attentive escort.

Then it was off to Galway with tour guide Andy. We saw Bunratty Castle, the Cliffs of Moher, the Black Fort and heard songs along the way. Andy was an amazing guide, full of life, kind, very funny and a great story teller.

We had a marvelous excursion to Belfast with tour guide Terrence a couple of days later. We made a day of visiting Carrick-a-Rede and the Giant’s Causeway. During the trip from Dublin to Belfast, Terrence gave us a great overview of the itinerary. He explained the history of the region and made sensible the complex politics of Northern Ireland and the Republic.

The bus drivers deserve a special mention. Jerry, Mike and others whose names I can’t remember were masters of those enormous buses, maneuvering over hill and dale.

Irish Rail Tours was fantastic, all our itineraries, some of them quite complicated, were well organized and made effortless for us. Every step of the way we were looked after.

It all made our vacation a pleasure. Thank you Irish Rail Tours!",Written 14 September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Sep 2019 • Solo,"Great experience, I missed my drop off in Kildare from Dublin and got great help from Mark Wicks who signed off on my ticket and even took me into a station to explain everything and help me stow my luggage. All employees were very helpful and understanding.
I didn’t give them a five star review just because I had trouble with the doors trying to get out, but if I was to screw up on any transit system I’m happy it was this one.",Written 13 September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Berlin, Germany",11 contributions,1,Sep 2019 • Couples,"Passengers must sit with intertwined legs, so every time one person moves it must be coordinated. Given the fact that travelling two hours north is the same price as flying to Europe, I could only imagine using this as a last resort for essential travel.

Air Coach is half the price, same amount of time, more space, and drops in better location in city.",Written 10 September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,2 contributions,,1,Sep 2019 • Solo,"Frequently delayed, never any communication to tell you how long or why etc. Just infuriating service in general",Written 7 September 2019,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
